location,date,snow_depth
Spo,2/23/22,381
Dek,2/23/22,0
Bon,2/24/22,65
Car,2/24/22,0
Arl,2/24/22,32
Han,2/24/22,70
Spo,2/24/22,374
Dek,2/24/22,0
Bon,2/25/22,78
Car,2/25/22,57
Arl,2/25/22,40
Han,2/25/22,72
Spo,2/25/22,368
Dek,2/25/22,32
Bon,2/26/22,54
Car,2/26/22,43
Arl,2/26/22,144
Han,2/26/22,40
Spo,2/26/22,382
Dek,2/26/22,66
Bon,2/27/22,54
Car,2/27/22,40
Arl,2/27/22,129
Han,2/27/22,32
Spo,2/27/22,370
Dek,2/27/22,59
Bon,2/28/22,35
Car,2/28/22,0
Arl,2/28/22,118
Han,2/28/22,28
Spo,2/28/22,364
Dek,2/28/22,52
Bon,3/1/22,0
Car,3/1/22,0
Arl,3/1/22,51
Han,3/1/22,19
Spo,3/1/22,356
Dek,3/1/22,0
Bon,3/2/22,0
Car,3/2/22,0
Arl,3/2/22,28
Han,3/2/22,14
Spo,3/2/22,349
Dek,3/2/22,0
Bon,3/3/22,0
Car,3/3/22,0
Arl,3/3/22,21
Han,3/3/22,12
Spo,3/3/22,341
Dek,3/3/22,0
Bon,3/4/22,0
Car,3/4/22,0
Arl,3/4/22,19
Han,3/4/22,10
Spo,3/4/22,338
Dek,3/4/22,0
Bon,3/5/22,0
Car,3/5/22,0
Arl,3/5/22,16
Han,3/5/22,5
Spo,3/5/22,329
Dek,3/5/22,0
Bon,3/6/22,0
Car,3/6/22,0
Arl,3/6/22,0
Han,3/6/22,0
Spo,3/6/22,343
Dek,3/6/22,0
Bon,3/7/22,0
Car,3/7/22,0
Arl,3/7/22,0
Han,3/7/22,0
Spo,3/7/22,377
Dek,3/7/22,13
Bon,3/8/22,0
Car,3/8/22,6
Arl,3/8/22,63
Han,3/8/22,0
Spo,3/8/22,373
Dek,3/8/22,83
Bon,3/9/22,0
Car,3/9/22,1
Arl,3/9/22,76
Han,3/9/22,0
Spo,3/9/22,368
Dek,3/9/22,44
Bon,3/10/22,0
Car,3/10/22,0
Arl,3/10/22,67
Han,3/10/22,0
Spo,3/10/22,364
Dek,3/10/22,40
Bon,3/11/22,0
Car,3/11/22,0
Arl,3/11/22,62
Han,3/11/22,0
Spo,3/11/22,361
Dek,3/11/22,44
Bon,3/12/22,7
Car,3/12/22,17
Arl,3/12/22,16
Han,3/12/22,0
Spo,3/12/22,357
Dek,3/12/22,29
Bon,3/13/22,0
Car,3/13/22,9
Arl,3/13/22,11
Han,3/13/22,0
Spo,3/13/22,354
Dek,3/13/22,25
Bon,3/14/22,0
Car,3/14/22,0
Arl,3/14/22,0
Han,3/14/22,0
Spo,3/14/22,350
Dek,3/14/22,0
Bon,3/15/22,0
Car,3/15/22,0
Arl,3/15/22,0
Han,3/15/22,0
Spo,3/15/22,319
Dek,3/15/22,0
Bon,3/16/22,0
Car,3/16/22,0
Arl,3/16/22,0
Han,3/16/22,0
Spo,3/16/22,302
Dek,3/16/22,0
Bon,3/17/22,0
Car,3/17/22,0
Arl,3/17/22,0
Han,3/17/22,0
Spo,3/17/22,265
Dek,3/17/22,0
Bon,3/18/22,0
Car,3/18/22,0
Arl,3/18/22,0
Han,3/18/22,0
Spo,3/18/22,248
Dek,3/18/22,0
Bon,3/19/22,0
Car,3/19/22,0
Arl,3/19/22,48
Han,3/19/22,36
Spo,3/19/22,246
Dek,3/19/22,0
Bon,3/20/22,0
Car,3/20/22,0
Arl,3/20/22,13
Han,3/20/22,0
Spo,3/20/22,245
Dek,3/20/22,0
Bon,3/21/22,0
Car,3/21/22,0
Arl,3/21/22,0
Han,3/21/22,0
Spo,3/21/22,237
Dek,3/21/22,0
Bon,3/22/22,0
Car,3/22/22,0
Arl,3/22/22,0
Han,3/22/22,0
Spo,3/22/22,24
Dek,3/22/22,0
Bon,3/23/22,0
Car,3/23/22,0
Arl,3/23/22,0
Han,3/23/22,0
Spo,3/23/22,29
Dek,3/23/22,0
Bon,3/24/22,0
Car,3/24/22,0
Arl,3/24/22,0
Han,3/24/22,16
Spo,3/24/22,45
Dek,3/24/22,0
Bon,3/25/22,0
Car,3/25/22,0
Arl,3/25/22,17
Han,3/25/22,19
Spo,3/25/22,45
Dek,3/25/22,0
Bon,3/26/22,0
Car,3/26/22,0
Arl,3/26/22,0
Han,3/26/22,12
Spo,3/26/22,40
Dek,3/26/22,0
Bon,3/27/22,0
Car,3/27/22,0
Arl,3/27/22,0
Han,3/27/22,8
Spo,3/27/22,32
Dek,3/27/22,0
Bon,3/28/22,0
Car,3/28/22,0
Arl,3/28/22,0
Han,3/28/22,0
Spo,3/28/22,0
Dek,3/28/22,0
